nome_fantasia,slug,inicio_atividades,porte_empresa,nome_cidade,sigla_uf,populacao_cidade,latitude_cidade,longitude_cidade,dist_1,dist_2,dist_3,dist_4
POSTO PIAUS,posto-piaus,2005-01-31T02:00:00.000Z,3,Itiúba,BA,36140,-10.6948,-39.8446,,,,
POSTO PIONEIRO,posto-pioneiro,2008-02-19T03:00:00.000Z,3,Itapetinga,BA,77408,-15.2475,-40.2482,,,,
POSTO PITANGUEIRAS,posto-pitangueiras,1985-06-17T03:00:00.000Z,5,Camaçari,BA,309208,-12.6996,-38.3263,,,,
POSTO PONTAL,posto-pontal,2007-09-27T03:00:00.000Z,1,Tanhaçu,BA,20383,-14.0197,-41.2473,,,,
POSTO PONTAL MAR AZUL,posto-pontal-mar-azul,1983-06-21T03:00:00.000Z,5,Ilhéus,BA,157639,-14.793,-39.046,,,,
POSTO PONTEIO,posto-ponteio,1999-05-24T03:00:00.000Z,1,Cordeiros,BA,8667,-15.0356,-41.9308,,,,
POSTO PORTAL DA ILHA,posto-portal-da-ilha,1999-06-18T03:00:00.000Z,5,Santo Antônio de Jesus,BA,103204,-12.9614,-39.2584,,,,
POSTO PORTO BRASIL - MATRIZ L.E.M.,posto-porto-brasil-matriz-lem,1999-03-04T03:00:00.000Z,5,Luís Eduardo Magalhães,BA,92671,-12.0956,-45.7866,,,,
POSTO PORTO SECO,posto-porto-seco,1998-05-21T03:00:00.000Z,5,Salvador,BA,2900319,-12.9718,-38.5011,,,,
POSTO PRECO BOM,posto-preco-bom,2008-12-11T02:00:00.000Z,5,Capim Grosso,BA,31055,-11.3797,-40.0089,,,,
POSTO PREMIUM,posto-premium,2004-10-26T03:00:00.000Z,5,Porto Seguro,BA,152529,-16.4435,-39.0643,,,,
POSTO PRESIDENTE,posto-presidente,2006-09-15T03:00:00.000Z,5,Feira de Santana,BA,624107,-12.2664,-38.9663,,,,
POSTO R.E,posto-re,2011-08-12T03:00:00.000Z,3,Ipirá,BA,59281,-12.1561,-39.7359,,,,
POSTO RADIAL,posto-radial,2011-05-03T03:00:00.000Z,5,Feira de Santana,BA,624107,-12.2664,-38.9663,,,,
POSTO REAL,posto-real,2006-03-20T03:00:00.000Z,5,Canudos,BA,16832,-9.90014,-39.1471,,,,
POSTO RENASCER,posto-renascer,2006-07-19T03:00:00.000Z,1,Sento Sé,BA,41279,-9.74138,-41.8786,,,,
POSTO RIACHAO,posto-riachao,2012-05-24T03:00:00.000Z,1,Caatiba,BA,6232,-14.9699,-40.4092,,,,
POSTO RIBEIRO,posto-ribeiro,1966-09-05T03:00:00.000Z,3,Barra da Estiva,BA,20198,-13.6237,-41.3347,,,,
POSTO RIO VERMELHO,posto-rio-vermelho,2003-10-24T02:00:00.000Z,5,Salvador,BA,2900319,-12.9718,-38.5011,,,,
POSTO RIVIERA,posto-riviera,2004-06-16T03:00:00.000Z,5,Feira de Santana,BA,624107,-12.2664,-38.9663,,,,
POSTO RODOVIA,posto-rodovia,1966-09-26T03:00:00.000Z,3,Euclides da Cunha,BA,61112,-10.5078,-39.0153,,,,
POSTO SABRINA I,posto-sabrina-i,2006-11-14T02:00:00.000Z,5,Livramento de Nossa Senhora,BA,46372,-13.6369,-41.8432,,,,
POSTO SANTA LUZ,posto-santa-luz,2002-12-11T02:00:00.000Z,3,Castro Alves,BA,26369,-12.7579,-39.4248,,,,
POSTO SANTANA,posto-santana,2009-10-27T02:00:00.000Z,5,Casa Nova,BA,73092,-9.16408,-40.974,,,,
POSTO SANTO ANTONIO,posto-santo-antonio,1996-10-14T02:00:00.000Z,5,São Desidério,BA,34764,-12.3572,-44.9769,,,,
POSTO SAO BENEDITO,posto-sao-benedito,2004-07-07T03:00:00.000Z,1,Nilo Peçanha,BA,14156,-13.604,-39.1091,,,,
POSTO SAO FELIPE,posto-sao-felipe,1997-10-29T02:00:00.000Z,5,Vitória da Conquista,BA,343643,-14.8615,-40.8442,,,,
POSTO SAO FELIX,posto-sao-felix,2009-10-20T02:00:00.000Z,5,São Félix do Coribe,BA,15543,-13.4019,-44.1837,,,,
POSTO SAO JORGE,posto-sao-jorge,2002-02-18T03:00:00.000Z,5,Salvador,BA,2900319,-12.9718,-38.5011,,,,
POSTO SAO JOSE DO AVENNA,posto-sao-jose-do-avenna,2008-11-03T02:00:00.000Z,1,Itanagra,BA,6433,-12.2614,-38.0436,,,,
POSTO SAO SEBASTIAO,posto-sao-sebastiao,2001-01-04T02:00:00.000Z,1,Maraú,BA,20664,-14.1035,-39.0137,,,,
POSTO SAO VICENTE,posto-sao-vicente,1994-11-04T02:00:00.000Z,1,Itaberaba,BA,64795,-12.5242,-40.3059,,,,
