id, cidade_id, slug, nome_fantasia, dt_inicio_atividade, cnae_fiscal, cep, porte
69,5421,logos-confeccoes-em-geral,LOGOS CONFECCOES EM GERAL,2000-09-18,4781400,45400000,1
70,5355,loteria-sorte-da-terra,LOTERIA SORTE DA TERRA,2000-09-20,8299706,45550000,1
71,2568,loterias-cristal-da-sorte,LOTERIAS CRISTAL DA SORTE,2000-08-11,8299706,45200250,1
72,4333,lu-modas,LU MODAS,2002-08-01,4781400,41630270,1
73,4333,lumahay,LUMAHAY,2000-05-05,4781400,40070080,3
74,1759,madeireira-w-dourado,MADEIREIRA W. DOURADO,2000-09-21,4744099,44070640,1
75,4333,magazine-central,MAGAZINE CENTRAL,1998-01-22,4759899,40025000,1
76,5421,maqtec,MAQTEC,1998-01-29,2823200,45400000,3
77,2296,marmoaria-pintos,MARMOARIA PINTOS,2003-02-18,2391503,45603570,1
78,93,materiais-de-contruo-vado,MATERIAIS DE CONTRUO VADO,2001-11-01,4744005,48005170,1
79,1759,matos-veiculos-e-financiamentos,MATOS VEICULOS E FINANCIAMENTOS,2003-02-13,4511101,44050368,1
80,3494,mercadinho-juliana,MERCADINHO JULIANA,2000-09-21,4712100,44718000,1
81,2296,mercadinho-nascer-do-sol,MERCADINHO NASCER DO SOL,2000-09-01,4712100,45609140,3
82,2624,mercadinho-rabelo,MERCADINHO RABELO,2000-08-14,4712100,48904530,1
83,2751,metrocalli,METROCALLI,2000-06-12,3314713,42700590,1
84,2862,monitory-sistema-inteligente-de-segurana,MONITORY SISTEMA INTELIGENTE DE SEGURANA,2000-09-26,8011101,44630000,1
85,2810,multicom,MULTICOM,2003-07-28,2930101,47850000,3
86,5191,muqueka-cia,MUQUEKA & CIA,1998-01-21,5611201,45995152,1
87,4333,nareg,NAREG,1998-02-03,8299799,40070100,1
88,4333,odontoclin-odontologia-especializada,ODONTOCLIN ODONTOLOGIA ESPECIALIZADA,2000-05-17,8630504,40280901,1
89,93,panificadora-belem,PANIFICADORA BELEM,2000-09-26,4721102,48030260,1
90,4333,papagas,PAPAGAS,2000-09-28,4784900,41321005,1
91,3214,pecas-automotivas-biao,PECAS AUTOMOTIVAS BIAO,1998-02-12,1091102,44800000,1
92,4333,piscina-blue,PISCINA BLUE,2000-08-16,9319199,40275010,1
93,5309,posto-jose-nunes,POSTO JOSE NUNES,2001-10-15,4731800,48790000,5
94,2436,posto-piaus,POSTO PIAUS,2005-01-31,4731800,48850972,3
95,2789,pousada-azevedo,POUSADA AZEVEDO,1997-09-12,5510801,46140000,1
96,5351,presto,PRESTO,1997-10-17,8650001,45545000,5
97,4333,prp,PRP,2000-09-02,9492800,41820021,5
98,2838,pt,PT,2000-05-29,9492800,46500000,5
99,2077,r-m-modas,R M MODAS,2000-06-14,4781400,46860000,1
100,3188,rochas-celulares,ROCHA'S CELULARES,2000-09-14,4751201,44850000,1
101,4333,scape-show-comercio-e-servicos,SCAPE SHOW - COMERCIO E SERVICOS,1998-02-05,4530703,40240090,1
102,788,sercom,SERCOM,1998-02-05,4742300,46100000,1
103,4333,serquel-comercio-e-servicos,SERQUEL COMERCIO E SERVICOS,2000-06-06,4321500,41290000,1
104,2098,serraria-do-norte,SERRARIA DO NORTE.,2000-09-19,7732201,46760000,1
105,5421,stylo-uniformes,STYLO UNIFORMES,2002-02-01,4781400,45400000,1
106,4151,super-lider-iii,SUPER LIDER III,2002-08-15,4712100,46470000,3
107,4207,supermercado-do-ivan,SUPERMERCADO DO IVAN,2000-07-28,4712100,46170000,1
108,2624,supermercado-j-c,SUPERMERCADO J C,2000-08-29,4712100,48922000,3
109,1294,tiao-baterias-e-pecas,TIAO BATERIAS E PECAS,2003-06-09,4541206,47680000,1
110,542,tornoaco-mult-materiais,TORNOACO MULT-MATERIAIS,1997-10-16,2539001,47802648,1
111,5536,transmudanca,TRANSMUDANCA,1998-02-04,4930202,45028135,1
112,4242,uex-ney-braga,UEX-NEY BRAGA,2000-06-14,9430800,48330000,5
